Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2026-01-28,WEB.V,80.0,1.95,156.0,1.56,1.9,152.0,-4.0,HOLD,,
2026-01-28,TOTAL,,,,,,152.0,-4.0,,144.0,296.0
2026-01-29,WEB.V,80.0,1.95,156.0,1.56,1.91,152.8,-3.2,HOLD,,
2026-01-29,TOTAL,,,,,,152.8,-3.2,,144.0,296.8
2026-01-30,WEB.V,80.0,1.95,156.0,1.56,1.99,159.2,3.2,HOLD,,
2026-01-30,TOTAL,,,,,,159.2,3.2,,144.0,303.2
2026-02-03,WEB.V,80.0,1.95,156.0,1.56,1.98,158.4,2.4,HOLD,,
2026-02-03,TOTAL,,,,,,158.4,2.4,,144.0,302.4
2026-02-04,WEB.V,80.0,1.95,156.0,1.56,1.98,158.4,2.4,HOLD,,
2026-02-04,TOTAL,,,,,,158.4,2.4,,144.0,302.4
2026-02-05,WEB.V,80.0,1.95,156.0,1.56,1.95,156.0,0.0,HOLD,,
2026-02-05,TOTAL,,,,,,156.0,0.0,,144.0,300.0
2026-02-06,WEB.V,80.0,1.95,156.0,1.56,1.87,149.6,-6.4,HOLD,,
2026-02-06,TOTAL,,,,,,149.6,-6.4,,144.0,293.6
2026-02-09,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-10,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-11,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-12,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-13,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-17,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-18,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-19,TOTAL,,,,,,0.0,0.0,,295.2,295.2
2026-02-20,TOTAL,,,,,,0.0,0.0,,295.2,295.2
